trial,timestamp,n_days,k1,k2,k2_down_factor,down_confirm_days,cooldown_days,grid_spacing,exit_profit,stop_loss,decay_factor,max_entries,score,total_trades,win_trades,win_rate,net_profit,max_drawdown,profit_factor,market_changes,trading_pct
0,2026-03-12T07:16:17.540167,4,0.6802857225639665,0.592797576724562,0.7993292420985183,1,1,0.008406585285177397,0.014063233020424545,0.10404460046972835,0.5416145155592091,2,1.9168162171616117,1731,1446,83.53552859618716,211198.12825566792,0.0,1.0,667,83.10481568652503
1,2026-03-12T07:16:43.296980,7,0.6329770563201687,0.38493564427131044,0.5909124836035503,1,1,0.011673295021425665,0.01102361513049481,0.09164916560792168,0.5223705789444759,2,1.917508209820598,1028,879,85.50583657587548,134090.30245453905,0.0,1.0,721,80.49535004648571
2,2026-03-12T07:17:07.512020,3,0.4465447373174767,0.4824279936868143,0.8925879806965068,1,2,0.012146901982034298,0.008325152889039985,0.10430179407605754,0.4341048247374583,2,1.9053427001859358,1343,1181,87.93745346239761,119057.2036842993,0.0,1.0,1040,70.76516989937156
3,2026-03-12T07:17:34.500215,7,0.6862528132298237,0.6233589392465844,0.6523068845866853,1,3,0.011081067456177209,0.008854267643913451,0.0998070764044508,0.4068777042230437,4,1.9522073785567482,1115,1012,90.76233183856502,59319.53511087978,0.0,1.0,423,89.96019152052665
4,2026-03-12T07:18:00.266782,3,0.5650089137415928,0.42468443043576437,0.7600340105889054,2,1,0.014787092394351909,0.013425929763527801,0.11757995766256756,0.5789654700855298,3,1.9208348612652997,1099,925,84.16742493175614,40523.75988036232,0.0,1.0,620,84.16629323501562
5,2026-03-12T07:18:24.932297,7,0.3353970008207678,0.3783931449676581,0.522613644455269,1,2,0.009899443222417271,0.013801162564063505,0.09427013306774357,0.4561869019374762,3,1.8806166824447088,1525,1223,80.1967213114754,113658.54877602455,0.0,1.0,1022,70.0132592551413
6,2026-03-12T07:18:52.399023,2,0.6208787923016158,0.3298202574719083,0.9934434683002586,3,1,0.008038654819865217,0.013708229999183839,0.10827429375390468,0.5458014336081974,4,1.9177091447454062,2156,1796,83.30241187384044,21638.57078138784,0.0,1.0,630,83.90095456194241
7,2026-03-12T07:19:17.975914,2,0.443386291417709,0.34634762381005185,0.9315517129377968,2,1,0.008444908452002166,0.010176876252009635,0.09300733288106988,0.5459212356676129,3,1.9038618827242675,2325,1970,84.73118279569893,69737.37556524269,0.0,1.0,936,74.83416716858542
8,2026-03-12T07:19:44.866541,7,0.4888859700647797,0.3478376983753207,0.8566223936114975,3,2,0.013396770259681926,0.011456569174550735,0.10090931317527976,0.48550820367170994,2,1.9523155375129875,989,877,88.67542972699697,16107.67241561675,0.0,1.0,284,93.14462416599838
9,2026-03-12T07:20:09.685942,2,0.3125716742746937,0.5545641645055122,0.6571779905381634,2,3,0.009745045604042124,0.010872680461249408,0.11022204554172195,0.4457596330983245,2,1.8875474456555568,1804,1498,83.03769401330376,79841.65518226357,0.0,1.0,1071,69.2171818078228
10,2026-03-12T07:20:37.321590,5,0.5235403593029869,0.6878148443151463,0.8356344324088584,3,2,0.014183590937318066,0.012368584690206557,0.0838787511899312,0.4857694514383282,2,1.9422482668962524,1041,898,86.26320845341017,17133.367556093905,0.0,1.0,336,91.72932076801095
11,2026-03-12T07:21:04.278929,6,0.4530469519873129,0.6963493965608203,0.6785923795320649,3,3,0.013174753012262706,0.008843507858938051,0.09787789551643425,0.4142532689847497,4,0.3814338790247894,1096,992,90.51094890510949,-724.0767521569617,0.0,1.0,362,91.15435376257855
12,2026-03-12T07:21:32.542966,6,0.5468714492697003,0.6087696049520285,0.705991652216644,3,3,0.012706329126396023,0.00976491556155946,0.08507939376004348,0.4020937919982412,4,0.5353968812086702,981,872,88.88888888888889,811.1411927439357,0.0,1.0,260,93.80804763380499
13,2026-03-12T07:21:59.884913,6,0.3972136799406378,0.4845619357947551,0.6176862055368464,2,3,0.010612808402579782,0.012250047333879022,0.09958045510242378,0.48304132327266003,4,1.935259108536056,1625,1408,86.64615384615385,21660.775385392804,0.0,1.0,495,87.66032349879708
14,2026-03-12T07:22:27.734532,7,0.6944622865628318,0.5358394007383037,0.856959726829965,2,2,0.013319943052374782,0.00939617087461796,0.11353523847892583,0.5954532931190155,3,0.594506531819937,598,546,91.30434782608695,1272.2772301974223,0.0,1.0,148,96.68288266096697
15,2026-03-12T07:22:56.075086,5,0.6089810626910788,0.3019227255376576,0.7521348806416696,3,2,0.010721384363504703,0.008092254500666465,0.1037803229455458,0.5140066450747343,3,1.9624901402893586,1288,1190,92.3913043478261,39312.57730063292,0.0,1.0,312,92.65811362294019
16,2026-03-12T07:23:25.605446,5,0.5965639911236676,0.30852700106811604,0.7533881284358336,3,2,0.01005544698303542,0.014756627625154362,0.10667920054454494,0.5029872953654791,3,1.9447111363816163,1418,1229,86.67136812411847,46700.08075556824,0.0,1.0,322,92.34851600463045
17,2026-03-12T07:23:52.818555,4,0.48178781647362084,0.43163502139699705,0.9397997381394906,3,2,0.013836616359107315,0.01209613537394567,0.08831704673834816,0.4703302555697931,2,1.5067852238089474,1133,971,85.70167696381289,10732.98068371424,0.0,1.0,476,88.19106227304238
18,2026-03-12T07:24:20.575005,5,0.3919589981945087,0.30758532792997884,0.8119600828067072,3,2,0.012225356681360874,0.010231198171973098,0.11283840647275808,0.5084986417981999,3,1.9415365927676445,1403,1257,89.59372772630078,33628.68127058099,0.0,1.0,541,86.37770479437098
19,2026-03-12T07:24:48.293309,6,0.5016743540638466,0.37520475094714867,0.7319287437314356,3,2,0.011055133853480321,0.008121508824540382,0.10251323334561256,0.5236935375635052,2,1.9599155422717796,1202,1102,91.68053244592346,17083.371603103307,0.0,1.0,314,92.43697246700467
20,2026-03-12T07:25:16.402404,6,0.5896641238207042,0.4243764373008672,0.7188336850920001,3,2,0.010905280703764897,0.008201160530219364,0.119310737766693,0.5667235816206592,3,1.9676369387399537,1117,1038,92.92748433303491,17616.70595737248,0.0,1.0,236,94.4272428704245
21,2026-03-12T07:25:44.071029,6,0.5752992552478898,0.43479373338861493,0.7291091087906226,3,2,0.010897903458818914,0.008040651630887007,0.11971945699112176,0.5669888477029179,3,1.9670495886733663,1147,1066,92.93809938971229,18010.325392905695,0.0,1.0,250,94.11764525211474
22,2026-03-12T07:26:12.967890,5,0.5834791082545369,0.44669317402220876,0.7672964469056064,3,2,0.009433722969507827,0.008795142923088625,0.11995805409429594,0.5759031793869691,3,1.9612766104724264,1525,1401,91.8688524590164,18920.65421434757,0.0,1.0,304,92.83502654768863
23,2026-03-12T07:26:41.266855,6,0.6420868661254806,0.4094216552128598,0.7069165905053088,2,2,0.010511248943589664,0.008038911163872002,0.11578625897630662,0.5681720985696492,3,1.962524941908362,1148,1053,91.72473867595818,16983.305409687586,0.0,1.0,272,93.67536294024367
24,2026-03-12T07:27:08.107989,6,0.6478373665522097,0.45150363757323275,0.5777684561526653,2,2,0.00902892167472257,0.009352425872485347,0.11518123062204481,0.5663130291513392,3,1.9572966671890841,1415,1277,90.24734982332156,24189.74996813602,0.0,1.0,286,93.27730885955971
25,2026-03-12T07:27:34.765317,6,0.6580516989239631,0.4058868799218716,0.7022829204743155,2,2,0.011562087040833089,0.00861841577969474,0.11965715602411008,0.5968618866612582,3,1.9627290375282211,1021,936,91.67482859941234,25997.739748965854,0.0,1.0,264,93.8522758649921
26,2026-03-12T07:28:03.632437,6,0.5533833021352397,0.5020008626835926,0.7054253449603886,2,3,0.01154619209002719,0.008633083377843537,0.11809348258715929,0.5992745558166821,3,1.9593546887843418,1144,1045,91.34615384615384,19981.380261921004,0.0,1.0,309,92.65811362294019
27,2026-03-12T07:28:31.268190,4,0.6633022529765721,0.4054212156513096,0.627520924806207,2,1,0.012095677846859432,0.009408045036506643,0.11993986750197683,0.5566604839329975,3,1.9511259682199014,1271,1161,91.34539732494099,60154.51814012536,0.0,1.0,454,88.54488812253923
28,2026-03-12T07:28:58.654381,6,0.5808349701085737,0.4644390789044373,0.5412689287239723,2,2,0.011242443340957685,0.010052293051481172,0.11114519055238045,0.588735456531856,3,1.4667054854429553,1194,1060,88.77721943048577,10170.920985402245,0.0,1.0,346,91.64086430563674
29,2026-03-12T07:29:27.896039,5,0.6616644154995751,0.5302055348917224,0.8076135318339215,3,1,0.012603248539661048,0.009158527195127254,0.1160433483281783,0.5327574146637881,4,1.5771251449075214,1004,926,92.23107569721115,11109.582368384195,0.0,1.0,228,94.73684048873425
